"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"56","Great new book out, “Mad Politics: Keeping Your Sanity in a World Gone Crazy” by @RealDrGina Loudon. Go out and get… https://t.co/yWaBUwHob1",FALSE,55024,NA,2018-11-21 15:13:33,TRUE,NA,"1065261943202738178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12785,FALSE,FALSE,NA,NA
"57","“‘Trump Imitation Syndrome’ is afflicting the president’s liberal enemies” 

Thank you @MGoodwin_NYPost! https://t.co/KpmsrKCaBZ",FALSE,42120,NA,2018-11-21 14:16:26,FALSE,NA,"1065247567443869696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11312,FALSE,FALSE,NA,NA
"58","MAKE AMERICA GREAT AGAIN!",FALSE,195173,NA,2018-11-21 12:50:29,FALSE,NA,"1065225940836458496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",42838,FALSE,FALSE,NA,NA
"59","Oil prices getting lower. Great! Like a big Tax Cut for America and the World. Enjoy! $54, was just $82. Thank you… https://t.co/gbyx8NXe1f",FALSE,115797,NA,2018-11-21 12:49:51,TRUE,NA,"1065225779825598465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30590,FALSE,FALSE,NA,NA
"60","AMERICA FIRST!",FALSE,183738,NA,2018-11-21 04:40:03,FALSE,NA,"1065102519188275201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",43188,FALSE,FALSE,NA,NA
"61","So-called comedian Michelle Wolf bombed so badly last year at the White House Correspondents’ Dinner that this year… https://t.co/L5Vy354N6K",FALSE,123513,NA,2018-11-21 03:43:41,TRUE,NA,"1065088330969305089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22533,FALSE,FALSE,NA,NA
"62","I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderf… https://t.co/JK9pu1hoHv",FALSE,91107,NA,2018-11-20 04:19:18,TRUE,NA,"1064734907941994497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18351,FALSE,FALSE,NA,NA
"63","The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks lik… https://t.co/oH4qCb1x4P",FALSE,174506,NA,2018-11-19 19:10:09,TRUE,NA,"1064596708875747328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",51884,FALSE,FALSE,NA,NA
"64","....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us, Bin Laden bein… https://t.co/ePHdS3WmzG",FALSE,173868,NA,2018-11-19 15:41:19,TRUE,NA,"1064544156960387072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",42642,FALSE,FALSE,NA,NA
"65","Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the… https://t.co/xbUMNwWgHj",FALSE,148902,NA,2018-11-19 15:26:39,TRUE,NA,"1064540462848098304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38149,FALSE,FALSE,NA,NA
"66",".@cindyhydesmith loves Mississippi and our Great U.S.A. https://t.co/hQPC4CrhDi",FALSE,42408,NA,2018-11-19 14:30:37,FALSE,NA,"1064526362994778113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10155,FALSE,FALSE,NA,NA
"67","From day one Rick Scott never wavered. He was a great Governor and will be even a greater Senator in representing t… https://t.co/RMgWOQR2uN",FALSE,85322,NA,2018-11-18 19:59:41,TRUE,NA,"1064246787161145346",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18285,FALSE,FALSE,NA,NA
